[2022-01-04 17:17:40,628]:[5048-INFO]:[__main__]:[Session closed]
[2022-01-04 17:17:48,877]:[4576-INFO]:[__main__]:[New session]
[2022-01-04 17:17:48,919]:[4576-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:18:54,134]:[4396-INFO]:[__main__]:[New session]
[2022-01-04 17:18:54,182]:[4396-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:19:00,456]:[6684-INFO]:[__main__]:[New session]
[2022-01-04 17:20:00,658]:[5204-INFO]:[__main__]:[New session]
[2022-01-04 17:20:00,706]:[5204-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:20:34,236]:[5760-INFO]:[__main__]:[New session]
[2022-01-04 17:20:34,275]:[5760-INFO]:[__main__]:[Successful commit: create operation]
Traceback (most recent call last):
  File "d:/pyrus/ORM/test.py", line 27, in <module>
    1 / 0
ZeroDivisionError: division by zero
[2022-01-04 17:20:53,302]:[6312-INFO]:[__main__]:[New session]
Traceback (most recent call last):
  File "d:/pyrus/ORM/test.py", line 14, in <module>
    1 / 0
ZeroDivisionError: division by zero
[2022-01-04 17:22:24,952]:[6156-INFO]:[__main__]:[New session]
[2022-01-04 17:22:24,991]:[6156-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:22:24,991]:[6156-INFO]:[__main__]:[Session closed]
[2022-01-04 17:22:38,817]:[6268-INFO]:[__main__]:[New session]
[2022-01-04 17:22:38,856]:[6268-INFO]:[__main__]:[Successful commit: create operation]
Traceback (most recent call last):
  File "d:/pyrus/ORM/test.py", line 25, in <module>
    1 / 0 
ZeroDivisionError: division by zero
[2022-01-04 17:22:59,919]:[4588-INFO]:[__main__]:[New session]
[2022-01-04 17:22:59,960]:[4588-INFO]:[__main__]:[Successful commit: create operation]
Traceback (most recent call last):
  File "d:/pyrus/ORM/test.py", line 25, in <module>
    1 / 0 
ZeroDivisionError: division by zero
[2022-01-04 17:23:01,124]:[5324-INFO]:[__main__]:[New session]
[2022-01-04 17:23:01,173]:[5324-INFO]:[__main__]:[Successful commit: create operation]
Traceback (most recent call last):
  File "d:/pyrus/ORM/test.py", line 25, in <module>
    1 / 0 
ZeroDivisionError: division by zero
[2022-01-04 17:23:02,197]:[6388-INFO]:[__main__]:[New session]
[2022-01-04 17:23:02,228]:[6388-INFO]:[__main__]:[Successful commit: create operation]
Traceback (most recent call last):
  File "d:/pyrus/ORM/test.py", line 25, in <module>
    1 / 0 
ZeroDivisionError: division by zero
[2022-01-04 17:23:05,134]:[6404-INFO]:[__main__]:[New session]
[2022-01-04 17:23:05,173]:[6404-INFO]:[__main__]:[Successful commit: create operation]
Traceback (most recent call last):
  File "d:/pyrus/ORM/test.py", line 25, in <module>
    1 / 0 
ZeroDivisionError: division by zero

[2022-01-04 17:27:36,974]:[6388-INFO]:[__main__]:[New session]
[2022-01-04 17:27:37,013]:[6388-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:27:37,013]:[6388-INFO]:[__main__]:[Session closed]


[2022-01-04 17:27:52,822]:[1572-INFO]:[__main__]:[New session]
[2022-01-04 17:27:52,878]:[1572-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:27:52,879]:[1572-INFO]:[__main__]:[Session closed]


[2022-01-04 17:28:01,485]:[7224-INFO]:[__main__]:[New session]
[2022-01-04 17:28:01,524]:[7224-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:28:01,524]:[7224-INFO]:[__main__]:[Session closed]


[2022-01-04 17:28:02,459]:[6272-INFO]:[__main__]:[New session]
[2022-01-04 17:28:02,500]:[6272-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:28:02,500]:[6272-INFO]:[__main__]:[Session closed]


[2022-01-04 17:28:03,405]:[2372-INFO]:[__main__]:[New session]
[2022-01-04 17:28:03,444]:[2372-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:28:03,444]:[2372-INFO]:[__main__]:[Session closed]


[2022-01-04 17:28:04,296]:[6312-INFO]:[__main__]:[New session]
[2022-01-04 17:28:04,335]:[6312-INFO]:[__main__]:[Successful commit: create operation]

[2022-01-04 17:28:04,335]:[6312-INFO]:[__main__]:[Session closed]

[2022-01-04 17:28:10,157]:[6952-INFO]:[__main__]:[New session]
[2022-01-04 17:28:10,196]:[6952-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:28:10,204]:[6952-INFO]:[__main__]:[Session closed]

[2022-01-04 17:28:18,595]:[7980-INFO]:[__main__]:[New session]
[2022-01-04 17:28:18,634]:[7980-INFO]:[__main__]:[Successful commit: create operation]
[2022-01-04 17:28:18,634]:[7980-INFO]:[__main__]:[Session closed]

[2022-01-04 17:28:19,224]:[5092-INFO]:[__main__]:[New session]
[2022-01-04 17:28:19,262]:[5092-INFO]:[__main__]:[Successful commit: create operation]
